,vm_percent,swap_percent,cpuloadavg_1min,cpuloadavg_5min,cpu_0,cpu_1,cpu_psi_total,mem_psi_total,io_psi_total
37,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
38,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
39,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
40,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
41,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
42,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
43,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
44,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
45,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
46,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
47,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
48,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
49,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
50,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
51,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
52,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
53,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
54,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
55,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
56,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
57,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
58,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
59,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
60,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
61,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
62,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
63,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
64,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
65,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
66,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
67,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
68,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
69,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
70,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
71,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
72,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
73,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
74,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
75,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
76,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
